"","X00","X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1",21,66,52,53,50,49,57,64,60,44,59,57,62,71,64,59,71,80,69,71,36
"2",41,57,53,46,45,84,57,45,50,75,50,81,63,81,66,44,68,85,81,79,65
"3",45,69,52,60,64,71,60,55,47,65,61,60,71,70,78,64,81,85,151,104,81
"4",44,41,52,56,71,45,58,52,51,56,49,65,73,77,106,84,68,69,136,96,76
"5",35,52,42,63,56,45,63,55,52,73,56,57,61,86,62,57,71,93,67,77,68
"6",36,29,37,41,46,35,38,40,40,44,51,51,45,46,69,66,66,82,63,81,78
"7",21,26,24,33,33,30,38,34,28,28,33,42,42,55,33,67,53,53,50,52,65
"8",23,25,22,21,34,34,29,35,22,27,32,31,32,31,38,44,35,47,42,39,37
"9",19,21,20,32,37,28,29,28,27,29,26,39,42,35,34,36,36,54,59,37,43
"10",33,31,28,29,38,45,33,29,33,43,41,51,63,45,58,54,61,55,59,66,64
"11",42,40,52,42,52,33,45,43,42,38,71,46,50,68,48,68,65,58,69,80,73
"12",42,41,43,50,48,48,44,55,41,46,62,71,61,72,61,48,54,77,69,67,72
"¿¬µµº° Æò±Õ",33.5,41.5,39.75,43.83,47.83,45.58,45.92,44.58,41.08,47.33,49.25,54.25,55.42,61.42,59.75,57.58,60.75,69.83,76.25,70.75,63.17
