"","1岿","2岿","3岿","4岿","5岿","6岿","7岿","8岿","9岿","10岿","11岿","12岿"
"1老",38,39,120,24,62,34,34,13,20,47,92,39
"2老",34,59,121,32,53,36,30,18,26,24,77,23
"3老",39,39,110,38,63,38,33,20,22,9,55,28
"4老",60,72,169,35,91,29,30,29,8,25,15,29
"5老",63,85,186,78,67,54,33,39,9,38,35,22
"6老",49,96,141,59,34,59,29,28,15,12,50,31
"7老",57,61,57,37,47,13,17,21,14,11,52,47
"8老",41,32,47,37,54,25,10,39,36,22,45,55
"9老",51,36,45,25,47,37,10,27,37,24,45,63
"10老",58,42,52,7,61,10,9,22,14,30,40,97
"11老",80,39,71,28,66,13,7,17,9,35,25,75
"12老",96,59,83,51,56,30,14,17,12,24,40,20
"13老",115,39,42,46,55,30,31,23,14,20,35,27
"14老",166,53,42,39,44,34,43,20,19,34,21,38
"15老",134,39,56,52,68,34,40,9,16,20,24,37
"16老",46,59,41,47,67,16,33,17,13,27,33,38
"17老",43,36,37,40,55,24,61,32,19,30,28,28
"18老",61,42,39,41,29,31,66,22,32,17,64,38
"19老",96,43,67,44,15,32,34,25,28,22,30,26
"20老",66,62,94,47,38,27,8,28,24,37,24,29
"21老",45,77,34,33,53,27,14,34,15,42,37,34
"22老",67,73,36,97,56,12,43,41,6,39,46,58
"23老",74,56,24,91,72,12,26,33,14,24,36,50
"24老",41,65,27,57,86,21,23,23,24,28,33,69
"25老",51,82,47,38,79,31,26,20,30,25,26,51
"26老",43,53,58,9,39,33,19,26,27,23,26,47
"27老",36,71,94,17,23,22,18,26,22,25,41,34
"28老",85,90,81,18,22,39,14,29,27,31,38,42
"29老",67,NA,39,25,48,25,14,28,38,98,45,45
"30老",63,NA,35,34,45,33,17,19,51,26,46,36
"31老",72,NA,42,NA,20,NA,17,18,NA,79,NA,26
"岿 乞闭",65.71,57.11,68.94,40.87,52.1,28.7,25.9,24.61,21.37,30.58,40.13,41.35
