기간	구분	총합	승용차	버스	지하철철도	택시	기타
2010	통행량	31,155	7,502	8,746	11,289	2,236	1,382
2010	분담율	100	24.1	28.1	36.2	7.2	4.4
2011	통행량	31,885	7,509	8,913	11,840	2,232	1,391
2011	분담율	100	23.5	28	37.1	7	4.4
2012	통행량	32,150	7,442	8,798	12,275	2,226	1,409
2012	분담율	100	23.1	27.4	38.2	6.9	4.4
2013	통행량	32,516	7,435	8,813	12,630	2,220	1,418
2013	분담율	100	22.9	27.1	38.8	6.8	4.4
2014	통행량	32,690	7,461	8,831	12,741	2,219	1,437
2014	분담율	100	22.8	27	39	6.8	4.4
2015	통행량	32,410	7,467	8,569	12,714	2,220	1,441
2015	분담율	100	23	26.5	39.3	6.8	4.4
2016	통행량	32,306	7,858	8,430	12,566	2,122	1,332
2016	분담율	100	24.3	26.1	38.9	6.6	4.1
2017	통행량	32,287	7,865	8,101	12,886	2,107	1,328
2017	분담율	100	24.4	25.1	39.9	6.5	4.1
2018	통행량	32,248	7,881	7,872	13,128	2,033	1,334
2018	분담율	100	24.5	24.4	40.7	6.3	4.1
