"","1岿","2岿","3岿","4岿","5岿","6岿","7岿","8岿","9岿","10岿","11岿","12岿"
"1老",25,18,84,12,27,25,26,8,12,31,34,29
"2老",22,36,85,17,15,23,22,11,14,16,40,13
"3老",24,30,77,22,32,22,24,13,13,5,33,16
"4老",42,36,117,20,58,20,21,21,5,16,7,15
"5老",40,28,135,24,41,38,21,29,5,21,20,11
"6老",23,35,101,19,10,42,21,20,9,5,30,16
"7老",37,32,39,16,18,9,11,13,6,6,23,31
"8老",18,17,26,12,24,16,5,29,22,10,18,40
"9老",22,17,29,10,24,29,6,18,25,9,22,46
"10老",34,23,34,5,35,6,6,14,9,15,25,71
"11老",57,23,46,17,37,7,3,11,5,19,15,51
"12老",69,38,49,31,37,18,9,13,5,11,22,14
"13老",83,20,11,30,36,20,25,14,6,9,21,16
"14老",129,27,20,21,33,23,37,13,12,16,6,26
"15老",81,28,32,17,45,20,32,5,11,8,13,26
"16老",17,48,28,22,44,11,25,9,6,14,21,23
"17老",22,25,23,20,39,15,48,20,9,16,16,19
"18老",39,27,23,24,17,23,53,13,12,9,11,27
"19老",67,34,42,22,11,25,26,15,10,11,9,17
"20老",33,51,68,25,13,20,4,19,10,23,10,19
"21老",21,62,26,25,20,19,9,23,7,26,18,23
"22老",33,55,19,41,28,7,33,29,3,24,22,43
"23老",44,39,15,44,42,8,17,19,6,14,19,40
"24老",21,51,13,40,54,13,15,11,12,16,20,52
"25老",21,59,28,18,53,21,18,12,16,12,14,38
"26老",20,28,34,6,24,22,14,16,16,13,16,33
"27老",20,45,60,10,14,16,13,18,12,14,22,24
"28老",24,60,49,13,8,31,9,19,17,19,20,25
"29老",23,NA,19,16,23,20,8,20,25,20,23,27
"30老",33,NA,24,21,25,26,10,9,33,11,28,25
"31老",21,NA,26,NA,11,NA,10,10,NA,25,NA,15
"岿 乞闭",37.58,35.43,44.58,20.67,28.97,19.83,18.74,15.94,11.77,14.97,19.93,28.1
